,id,age,gender,gender_predicted_value,location,profile_img_url
47,1178458795707686912,-1.0,no_face,-1.0,USA ΔΣΘ 🔺🐘🔺#JTribe #JanFam,http://pbs.twimg.com/profile_images/823634667383365632/f_3xAaZk.jpg
48,1178458803504701440,38.85031012746913,m,0.07862579822540283,Global,http://pbs.twimg.com/profile_images/1172650186344189952/NzDPuaMM.jpg
49,1178458839970017280,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/881639497703673856/MrOoyDo7.jpg
50,1178458840762912768,-1.0,no_face,-1.0,"New York, NY - Blue to Red",http://pbs.twimg.com/profile_images/986062958970200065/6FdeNGT1.jpg
51,1178458865878200320,-1.0,no_face,-1.0,Sydney,http://pbs.twimg.com/profile_images/494644340363255809/7YY55AfJ.jpeg
52,1178458867962957826,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1215121922444480515/IZfqhvk6.jpg
53,1178458878809260032,-1.0,no_face,-1.0,"East Singhbhum, jharkhand",http://pbs.twimg.com/profile_images/1254717650447499267/YfzBglkE.jpg
54,1178458904981889024,29.130970885567876,f,0.9422866702079773,U.S.  🤔,http://pbs.twimg.com/profile_images/959689957312028672/e7RmDA1J.jpg
55,1178458906261016576,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/879661996416745472/gDzabsJL.jpg
56,1178458915257888771,52.92960277835664,m,0.3339829444885254,"New Hampshire, USA",http://pbs.twimg.com/profile_images/1255573848566759431/DgysNvgJ.jpg
57,1178458932806914049,-1.0,no_face,-1.0,Jupiter,http://pbs.twimg.com/profile_images/1195144978416230400/9zmOIwAk.jpg
58,1178458952356397056,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1203145235179565056/v9ZKrgAh.jpg
59,1178458959671369729,42.57560302389902,m,0.09794684499502182,"Florida, USA",http://pbs.twimg.com/profile_images/985297287168577536/0IiQTvyu.jpg
60,1178458983570366464,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1249522424816648193/Mw-KB-cg.jpg
61,1178458995637542912,-1.0,no_face,-1.0,"Palm Beach, FL - Queens, NY",http://pbs.twimg.com/profile_images/1091901391436697600/rgkpARVh.jpg
62,1178458996438487046,-1.0,no_face,-1.0,"Vancouver, BC",http://pbs.twimg.com/profile_images/1109275657622548481/dm-RJ-_z.jpg
63,1178459031498715138,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1256674228130082816/cB3uQ6r6.jpg
64,1178459048544370689,40.93287866662649,m,0.038003161549568176,,http://pbs.twimg.com/profile_images/1252340613724336128/1F7P-GmI.jpg
65,1178459055016333317,-1.0,no_face,-1.0,UK,http://pbs.twimg.com/profile_images/453494527068626944/QJoh2SSU.jpeg
66,1178459058577166336,37.02798583874801,m,0.031442999839782715,New Zealand,http://pbs.twimg.com/profile_images/1224055443829354496/Gz84yA4S.jpg
67,1178459073433362433,-1.0,no_face,-1.0,"Naga City, Bicol Region",http://pbs.twimg.com/profile_images/872393945333907456/c6BE7QC-.jpg
68,1178459093612150784,-1.0,no_face,-1.0,"ÜT: 35.603972,-97.603997",http://pbs.twimg.com/profile_images/1785779828/49150_515874168_5797_q_2_.jpg
69,1178459109072355328,-1.0,no_face,-1.0,Aotearoa,http://pbs.twimg.com/profile_images/1242923948133584896/_L_Rx3dF.jpg
70,1178459122917892103,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/645007520000446464/vkEGUiPL.jpg
71,1178459125807640577,36.62471898869262,m,0.07280854135751724,pale blue dot,http://pbs.twimg.com/profile_images/1220208180682280964/QT3AkmVg.jpg
72,1178459142177972224,50.362635362835135,m,0.02882639318704605,‘Murica,http://pbs.twimg.com/profile_images/1246467315291414528/0TE048qb.jpg
73,1178459148351987712,-1.0,no_face,-1.0,"Sherwood Park, AB",http://pbs.twimg.com/profile_images/490902684946272256/o9NAHkWN.jpeg
74,1178459163438960640,33.35260850862687,f,0.6747280955314636,,http://pbs.twimg.com/profile_images/2963916108/f365d3926bb3bd8a609a8eb33ac2cc0d.jpeg
75,1178459187937980417,-1.0,no_face,-1.0,Canada,http://pbs.twimg.com/profile_images/1254410676384288768/G69W563N.jpg
76,1178459189783470082,57.73111580499972,m,0.24680665135383606,"Wilmington, DE",http://pbs.twimg.com/profile_images/1235244704859664385/oneP6BrA.jpg
77,1178459190467207169,-1.0,no_face,-1.0,"Dallas, Texas",http://pbs.twimg.com/profile_images/1166815190018658304/yFrcHKny.png
78,1178459191599493120,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1087900052524228608/TcJU7rtP.jpg
79,1178459193596141570,40.36838367249277,m,0.05453738570213318,"San Francisco, CA ",http://pbs.twimg.com/profile_images/971820439004590080/qceK5gy-.jpg
80,1178459244783255552,-1.0,no_face,-1.0,Australia,http://pbs.twimg.com/profile_images/1150618293654261760/keXFsLzP.png
81,1178459246872207361,-1.0,no_face,-1.0,"Omaha, NE",http://pbs.twimg.com/profile_images/1175163600098512896/fymVAn94.jpg
82,1178459249959165952,-1.0,no_face,-1.0,"Pensacola, FL",http://pbs.twimg.com/profile_images/1062790510035824641/rsjLrywt.jpg
83,1178459252098289664,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1234541136536113153/KGq_mJJ8.jpg
84,1178459260054839300,-1.0,no_face,-1.0,"Natal, Brasil",http://pbs.twimg.com/profile_images/959953252824633344/yK6Vi8Id.jpg
85,1178459261363507200,36.82465585193131,m,0.3285601735115051,"St. John's, Newfoundland",http://pbs.twimg.com/profile_images/697399893061726208/v5gkkoEY.jpg
86,1178459267252342784,50.482839876209255,m,0.08571449667215347,"Washington, DC",http://pbs.twimg.com/profile_images/762442818795077632/9_3m_vAM.jpg
87,1178459270414848000,-1.0,no_face,-1.0,"Wichita, KS",http://pbs.twimg.com/profile_images/1025666329460654080/ylsdqWiP.jpg
88,1178459273992359936,56.70491819370727,m,0.023154212161898613,"Calgary, Alberta",http://pbs.twimg.com/profile_images/789182559632576512/phqA6YbO.jpg
89,1178459277024997376,52.61371210782818,m,0.1359913945198059,Edmonton Alberta,http://pbs.twimg.com/profile_images/1116964222867365888/FMWG0qFp.png
90,1178459279461892097,-1.0,no_face,-1.0,"Roma, Lazio",http://pbs.twimg.com/profile_images/1218131893079638017/JsgAJHaP.jpg
91,1178459295081328640,-1.0,no_face,-1.0,#EarthJustice,http://pbs.twimg.com/profile_images/1252066838441156610/AjLVBn3l.jpg
92,1178459311103709184,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1254571161637322753/HkYdZLnb.jpg
93,1178459340770041858,-1.0,no_face,-1.0,"Florida, USA",http://pbs.twimg.com/profile_images/811383522178936833/oJ4aUa0f.jpg
